idx,band,song,duration_sec,bpm_autocorr,extract_sec,error,bpm_madmom,beat_count,beat_interval_median_sec,halftime_flag,official_bpm,ratio,octave_class
187,morfonica,The Circle Of Butterflies,258.46,123.046875,20.42,,176.47058823529235,751.0,0.34,False,174.0,1.0141987829614503,
188,morfonica,ハーモニー・デイ,218.88,172.265625,17.09,,181.81818181818275,666.0,0.33,False,182.0,0.9990009990010041,
189,morfonica,Sweet Cheers!,223.75,143.5546875,17.24,,109.09090909091248,410.0,0.55,False,110.0,0.9917355371901134,
190,morfonica,"寄る辺のSunny, Sunny",215.73,172.265625,16.64,,181.8181818181906,662.0,0.33,False,184.0,0.9881422924901663,
191,morfonica,誓いのWingbeat,254.71,80.74951171875,19.96,,206.89655172413347,851.0,0.29,False,205.0,1.0092514718250414,
192,morfonica,Ever Sky Blue,240.93,129.19921875,18.52,,193.5483870967728,648.0,0.31,False,195.0,0.9925558312655016,
193,morfonica,Polyphonyscape,250.98,161.4990234375,19.24,,153.8461538461536,637.0,0.39,False,153.0,1.0055304172951216,
194,morfonica,Wreath of Brave,262.9,129.19921875,20.09,,136.36363636363265,592.0,0.44,False,135.0,1.0101010101009826,
195,morfonica,Merry Merry Thanks!!,257.26,107.666015625,19.15,,146.34146341463028,614.0,0.41,False,145.0,1.0092514718250365,
196,morfonica,Sonorous,312.79,129.19921875,23.37,,133.33333333332828,688.0,0.45,False,132.0,1.0101010101009718,
197,morfonica,両翼のBrilliance,239.61,86.1328125,18.14,,171.4285714285742,688.0,0.35,False,172.0,0.9966777408638035,
198,morfonica,Steer to Utopia,216.26,112.34714673913044,16.4,,193.5483870967728,703.0,0.31,False,195.0,0.9925558312655016,
199,morfonica,Fateful...,286.83,129.19921875,21.88,,133.33333333332828,631.0,0.45,False,132.0,1.0101010101009718,
200,morfonica,ティリカモニカリラ,203.62,103.359375,15.2,,139.53488372093034,471.0,0.43,False,140.0,0.9966777408637881,
201,morfonica,Secret Dawn,238.15,161.4990234375,18.23,,130.4347826086954,512.0,0.46,False,131.0,0.9956853634251557,
