idx,band,song,i_mean,i_std,i_max,i_min,i_start,i_end
232,morfonica,COLORFUL BOX (Cover),0.20827,0.85776,1.57989,-0.87956,0.48785,-0.24804
233,morfonica,unravel (Cover),0.12356,0.99430,1.41077,-1.51562,0.09340,-0.35356
234,morfonica,アゲハ蝶 (Cover),0.10730,0.71309,1.33582,-0.79127,-0.11512,0.36662
235,morfonica,V.I.P (Cover),0.07902,0.71094,1.21663,-0.79579,0.18566,0.40688
236,morfonica,CQCQ (Cover),0.27907,0.85321,1.74171,-0.97246,0.18295,0.19997
237,mugendai_mutype,アイの夢限,-0.23474,0.87629,1.11790,-1.64598,-0.86881,-0.02662
238,mugendai_mutype,どんがらがっしゃん,0.44657,0.84299,1.95472,-0.59832,0.46012,0.38405
239,mugendai_mutype,みゅーたんとミュータント,0.19197,1.34915,2.94293,-1.45788,0.13122,0.17212
240,mugendai_mutype,チューニング,-0.16639,0.89229,1.08653,-1.85573,-1.15271,-0.51554
241,mugendai_mutype,Dream Voyage,0.12283,0.72787,1.28375,-0.83237,0.05230,0.53806
242,mugendai_mutype,グラディエント,-0.48717,0.84019,0.85889,-1.84684,-1.30805,-0.68343
243,mugendai_mutype,LET'Sあちあちトレーニング！,0.50921,0.98388,2.30161,-1.07411,-0.58032,1.14653
244,mugendai_mutype,真夜中遊園地,0.78656,0.78216,1.98735,-0.28499,0.84984,1.33431
245,mugendai_mutype,テレパシー,-0.82105,1.08842,1.29229,-2.16644,-1.39059,0.24050
246,mugendai_mutype,TRASH LIFE,0.17713,1.18098,1.99599,-2.00469,-1.72547,0.82029
247,mugendai_mutype,新人類は仮想世界の夢を見るか?,0.94762,0.80290,2.30719,-0.12167,0.91503,1.07101
248,mugendai_mutype,コミュ着火Fire!,0.78135,0.74395,2.00713,-0.28893,1.05426,0.71470
249,mugendai_mutype,Calling,0.46067,0.69783,1.63483,-0.43334,0.70493,0.43623
250,mugendai_mutype,Hi-Vision,0.51174,0.94643,2.05528,-0.84420,0.36230,0.90599
251,mugendai_mutype,コハク,0.12459,0.77638,1.30923,-1.07747,-0.06553,-0.11006
252,mugendai_mutype,✞animaるパーティ✞開催中✞,0.43433,0.82162,1.64032,-0.91052,0.31883,0.04416
253,mugendai_mutype,エンプティパペット,0.40754,0.92641,1.96943,-1.01359,-0.02452,0.46804
254,mugendai_mutype,限界現実サバイブ天使,0.68049,0.68293,1.79584,-0.37066,0.72583,0.53524
255,mugendai_mutype,ビッグマウス,0.86207,0.82004,2.18417,-0.40306,0.81599,1.05665
256,mugendai_mutype,夢現妄想世界,0.44691,0.64944,1.43075,-0.39423,0.74929,0.25787
257,mugendai_mutype,やわやわNERD 超FreQuency,1.09125,0.90245,2.55450,-0.27923,1.18184,1.40201
258,mugendai_mutype,超惑星Xへの旅,0.69682,0.92244,2.16204,-0.67870,0.44488,1.10977
259,mugendai_mutype,これはぼくたちの生存のあらすじ,0.50924,0.76380,1.59844,-0.50086,0.19741,0.62722
260,mygo,迷星叫,-0.05256,1.00496,1.25315,-1.95603,-0.16348,-1.32877
261,mygo,壱雫空,0.15124,0.77236,1.33091,-0.84378,0.34632,0.03831
262,mygo,碧天伴走,0.18407,0.66188,1.20640,-0.75191,0.37791,-0.02801
263,mygo,影色舞,-0.07148,0.78216,1.23873,-1.10925,-0.04630,-0.05961
264,mygo,歌いましょう鳴らしましょう,0.48996,0.66191,1.61427,-0.37202,0.33835,0.73495
265,mygo,潜在表明,-0.31955,0.84927,1.09203,-1.55826,-1.15361,-1.15205
266,mygo,音一会,0.22840,0.80456,1.42878,-0.63964,0.19907,-1.45889
267,mygo,春日影 (MyGO!!!!! ver.),-0.36068,0.78204,0.86728,-1.49262,-0.71492,-0.44912
