idx,band,song,duration_sec,crowd_median,crowd_p10,crowd_p90,crowd_std,noise_floor_db,rt60_est_sec,n_patches,extract_sec,error
270,mygo,無路矢,222.93,0.0006489485967904329,0.000435948051745072,0.001161658321507275,0.00030382777913473547,-13.48,5.0,112,1.04,
271,mygo,名無声,271.65,0.0008818042697384953,0.0005427692085504532,0.0017568491166457534,0.0005352006410248578,-15.45,5.0,136,1.33,
272,mygo,栞,266.41,0.0007688282057642937,0.00044264664757065475,0.0012416655663400888,0.00030753493774682283,-18.71,5.0,134,1.33,
273,mygo,歩拾道,,,,,,-15.36,5.0,,1.27,
274,mygo,明弦音,243.92,0.0005714892758987844,0.0003533533017616719,0.001004510559141636,0.00034755803062580526,-13.78,5.0,122,1.21,
275,mygo,孤壊牢,215.57,0.0006135401781648397,0.0003610800195019692,0.0012099299347028136,0.0006219829665496945,-15.13,5.0,108,1.03,
276,mygo,霧周途,,,,,,-14.64,5.0,,1.07,
277,mygo,端程山,260.97,0.0006550400867126882,0.0004011967685073614,0.0009984283242374659,0.00029203813755884767,-15.76,5.0,131,1.55,
278,mygo,処救生,217.49,0.0006350578041747212,0.00036650290712714195,0.0012814520159736276,0.0006327877636067569,-13.14,5.0,109,1.36,
279,mygo,輪符雨,207.57,0.0007484538364224136,0.00042461801785975695,0.001333608292043209,0.0004317861457820982,-13.93,5.0,104,1.33,
280,mygo,夜隠染,200.97,0.0006506879581138492,0.00036067329347133636,0.0012988772941753268,0.0004150386666879058,-16.58,5.0,101,1.27,
281,mygo,過惰幻,237.61,0.0006391103961504996,0.00026847602566704154,0.001282244105823338,0.0003902917669620365,-22.36,5.0,119,1.53,
282,mygo,回層浮,261.24,0.0007276132237166166,0.00034228444565087557,0.0013790559023618698,0.001066864002496004,-16.57,5.0,131,1.69,
283,mygo,砂寸奏,223.6,0.0005559943965636194,0.00031414590193890035,0.0009592004935257137,0.0003024049801751971,-17.97,5.0,112,1.45,
284,mygo,焚音打,242.92,0.0007873326539993286,0.00048613318358547986,0.0018070935038849711,0.0008189323707483709,-15.04,5.0,122,1.58,
285,mygo,残痕字,255.07,0.0005456234212033451,0.00035972407204099,0.0008246244979090989,0.0001794131239876151,-14.63,5.0,128,1.65,
286,mygo,掌心正銘,221.47,0.0005499602993950248,0.0003596923779696226,0.0008534038788639009,0.0003489711962174624,-15.38,5.0,111,1.42,
287,mygo,証命讃歌,,,,,,-14.9,5.0,,1.23,
288,mygo,エガクミライ,239.41,0.0006273441249504685,0.000332347844960168,0.0010052381549030542,0.0005838225479237735,-21.31,5.0,120,1.51,
289,mygo,静降想,,,,,,-22.79,5.0,,1.72,
290,mygo,聿日箋秋,236.36,0.0006873304373584688,0.00039222685154527426,0.0011957082897424698,0.001352441729977727,-15.5,5.0,119,1.39,
291,mygo,往欄印,,,,,,-14.5,5.0,,1.81,
292,mygo,だれかの心臓になれたなら (Cover),236.37,0.0006008039927110076,0.0003737426013685763,0.0009066754137165844,0.0002543971058912575,-26.38,5.0,119,1.46,
293,mygo,遥か彼方 (Cover),249.23,0.0005757743492722511,0.00027671499992720783,0.0010331609519198537,0.00036569705116562545,-18.23,5.0,125,1.48,
294,mygo,雑踏、僕らの街 (Cover),,,,,,-22.23,5.0,,1.18,
295,mygo,過去を喰らう (Cover),240.48,0.0006155329174362123,0.0003747563168872148,0.0012706409906968474,0.0003610254207160324,-15.94,5.0,121,1.17,
296,mygo,君の神様になりたい。 (Cover),249.33,0.0005103794974274933,0.00033837842056527734,0.0010248476173728704,0.000401957833673805,-16.33,5.0,125,1.2,
297,mygo,ノンブレス・オブリージュ (Cover),207.25,0.0006367024616338313,0.0003334165958222002,0.0011319404002279043,0.00040395662654191256,-21.06,5.0,104,1.38,
298,mygo,swim (Cover),209.55,0.0006180516793392599,0.0003840761200990528,0.0009856416145339608,0.0002772499865386635,-13.83,5.0,105,1.34,
299,mygo,猛独が襲う (Cover),254.32,0.0004534420440904796,0.00029709303635172546,0.0008453518967144191,0.0002570090291555971,-16.1,5.0,128,1.66,
300,mygo,春日影,123.01,0.0007193249184638262,0.00034146453253924847,0.001319078728556633,0.04078272357583046,-40.76,5.0,62,0.81,
301,pastel_palettes,TITLE IDOL,268.37,0.0009172449936158955,0.0005031469045206904,0.0015809581382200122,0.002773424843326211,-19.37,5.0,135,1.73,
302,pastel_palettes,ワクワクmeetsトリップ,247.3,0.0010883772047236562,0.0005428668227978051,0.0019750099163502455,0.0005630842060782015,-21.09,5.0,124,1.58,
303,pastel_palettes,ゆら・ゆらRing-Dong-Dance,265.14,0.0009064758196473122,0.00043106029625050724,0.0016806911444291472,0.0005057664820924401,-22.39,5.0,133,1.69,
304,pastel_palettes,もういちど ルミナス,,,,,,-21.06,5.0,,1.69,
305,pastel_palettes,あっつあつ 常夏 らぶ☆サマー！,246.87,0.0007959341164678335,0.00034994070301763713,0.001508284593001008,0.0005151854711584747,-19.64,5.0,124,1.6,
306,pastel_palettes,天下トーイツ A to Z☆,218.57,0.0008440965320914984,0.0004339959123171866,0.0014463217230513692,0.0004482486692722887,-20.3,5.0,110,1.42,
307,pastel_palettes,しゅわりん☆どり〜みん,236.37,0.000969781365711242,0.0004966622218489647,0.0019260946428403258,0.0010556211927905679,-21.28,5.0,119,1.43,
308,pastel_palettes,Power of LOVE!!!,231.7,0.0009427408222109079,0.00045627699000760913,0.0016912451246753335,0.0005564341554418206,-19.03,5.0,116,1.24,
309,pastel_palettes,きゅ～まい＊flower,220.6,0.000741953554097563,0.000339875346980989,0.0014416184276342392,0.0005579968565143645,-20.08,5.0,111,1.33,
310,pastel_palettes,Winking☆Cheer,,,,,,-22.2,5.0,,1.99,
311,pastel_palettes,ゆめゆめグラデーション,284.73,0.0008430948364548385,0.0004793172993231565,0.0014075991930440068,0.0003632877778727561,-19.68,5.0,143,1.8,
312,pastel_palettes,はなまる◎アンダンテ,226.47,0.0008393675088882446,0.0004185926227364689,0.0017579017439857125,0.0005525416345335543,-20.7,5.0,114,1.48,
313,pastel_palettes,パスパレボリューションず☆,231.33,0.0010411327239125967,0.0005203282344155014,0.0017730286344885826,0.0010698172263801098,-19.43,5.0,116,1.26,
314,pastel_palettes,SURVIVOR ねばーぎぶあっぷ!,248.63,0.0007468743133358657,0.00045694559230469167,0.0014691019896417856,0.0006160777993500233,-18.68,5.0,125,1.17,
315,pastel_palettes,Wonderland Girl,271.03,0.0008405342232435942,0.0005017389776185155,0.0013132047606632113,0.00036262156208977103,-20.64,5.0,136,1.28,
316,pastel_palettes,ゼッタイ宣言～Recital～,241.53,0.0007571952301077545,0.00032017051125876606,0.0014131848001852632,0.0004715239629149437,-23.43,5.0,121,1.14,
317,pastel_palettes,ぎゅっDAYS♪,251.63,0.000785243057180196,0.0003906190977431834,0.0013277903199195862,0.0003472403041087091,-20.03,5.0,126,1.52,
318,pastel_palettes,Wonderful Sweet!,247.4,0.0007456238381564617,0.0004122870450373739,0.001462357584387064,0.0005122800939716399,-19.35,5.0,124,1.54,
319,pastel_palettes,るんっ♪てぃてぃー！,229.27,0.0007253501680679619,0.00036759459180757403,0.0012403231812641025,0.0003834743401966989,-19.06,5.0,115,1.45,
320,pastel_palettes,パッパレ☆人生！バーン万歳！,239.53,0.0007223449647426605,0.0004428153915796429,0.001064463285729289,0.0002690271649044007,-19.78,5.0,120,1.53,
