idx,tag,band,song,drum_tempo_bpm,n_candidates,rule,decision_ratio,octave_shift,selected_bpm,base_in_range
267,mygo__267,mygo,春日影 (MyGO!!!!! ver.),97.5,2,acf_up,1.004,1,195.0,True
268,mygo__268,mygo,詩超絆,95.7,2,acf_up,0.983,1,191.4,True
269,mygo__269,mygo,迷路日々,129.2,1,unique,,0,129.2,True
270,mygo__270,mygo,無路矢,120.2,1,unique,,0,120.2,True
271,mygo__271,mygo,名無声,95.7,2,acf_up,0.982,1,191.4,True
272,mygo__272,mygo,栞,87.6,2,acf_up,0.913,0,87.6,True
273,mygo__273,mygo,歩拾道,129.2,1,unique,,0,129.2,True
274,mygo__274,mygo,明弦音,92.3,2,acf_up,0.864,0,92.3,True
275,mygo__275,mygo,孤壊牢,90.7,2,acf_up,0.898,0,90.7,True
276,mygo__276,mygo,霧周途,110.0,2,acf_up,0.784,0,110.0,True
277,mygo__277,mygo,端程山,90.7,2,acf_up,0.816,0,90.7,True
278,mygo__278,mygo,処救生,95.7,2,acf_up,0.938,0,95.7,True
279,mygo__279,mygo,輪符雨,152.0,1,unique,,0,152.0,True
280,mygo__280,mygo,夜隠染,112.3,1,unique,,0,112.3,True
281,mygo__281,mygo,過惰幻,84.7,1,unique,,1,169.4,False
282,mygo__282,mygo,回層浮,99.4,2,acf_up,0.826,0,99.4,True
283,mygo__283,mygo,砂寸奏,90.7,2,acf_up,0.878,0,90.7,True
284,mygo__284,mygo,焚音打,95.7,2,acf_up,0.675,0,95.7,True
285,mygo__285,mygo,残痕字,87.6,2,acf_up,0.773,0,87.6,True
