tag,essentia_key,essentia_scale,essentia_key_strength,status
raise_a_suilen__507,Eb,minor,0.59547740221,success
raise_a_suilen__508,D,minor,0.673559010029,success
raise_a_suilen__509,C,minor,0.558363139629,success
raise_a_suilen__510,F,major,0.670040130615,success
raise_a_suilen__511,C,minor,0.645473718643,success
raise_a_suilen__512,C,minor,0.668374598026,success
raise_a_suilen__513,Eb,minor,0.659585893154,success
raise_a_suilen__514,B,major,0.604833543301,success
raise_a_suilen__515,C,major,0.724001944065,success
raise_a_suilen__516,G,major,0.614549934864,success
raise_a_suilen__517,Ab,major,0.645096063614,success
raise_a_suilen__518,B,minor,0.636640787125,success
raise_a_suilen__519,Bb,major,0.884704947472,success
raise_a_suilen__520,F,minor,0.456204295158,success
raise_a_suilen__521,G,major,0.773588836193,success
raise_a_suilen__522,C,major,0.689899981022,success
raise_a_suilen__523,A,major,0.858067452908,success
raise_a_suilen__524,Ab,minor,0.793142616749,success
raise_a_suilen__526,G,major,0.646223425865,success
raise_a_suilen__527,C,minor,0.695089757442,success
raise_a_suilen__528,D,minor,0.810205757618,success
raise_a_suilen__529,E,minor,0.591080248356,success
raise_a_suilen__530,E,minor,0.610945641994,success
raise_a_suilen__531,F#,minor,0.664308488369,success
raise_a_suilen__532,B,major,0.861127495766,success
raise_a_suilen__533,G,minor,0.631953239441,success
raise_a_suilen__534,E,major,0.563508868217,success
raise_a_suilen__535,E,major,0.637602806091,success
raise_a_suilen__536,C#,minor,0.595737576485,success
raise_a_suilen__537,B,major,0.837951123714,success
raise_a_suilen__538,C,minor,0.77289378643,success
raise_a_suilen__539,Bb,major,0.64225935936,success
raise_a_suilen__540,B,minor,0.572566688061,success
raise_a_suilen__541,F,major,0.710444569588,success
raise_a_suilen__542,F#,minor,0.734688878059,success
raise_a_suilen__543,B,minor,0.736524879932,success
raise_a_suilen__544,B,major,0.773319005966,success
raise_a_suilen__545,A,minor,0.710681557655,success
raise_a_suilen__546,E,minor,0.691600739956,success
raise_a_suilen__547,C#,minor,0.659693062305,success
raise_a_suilen__548,D,major,0.925618827343,success
raise_a_suilen__549,F#,major,0.782199263573,success
raise_a_suilen__550,F#,major,0.808388590813,success
raise_a_suilen__551,G,major,0.701486647129,success
raise_a_suilen__552,F,minor,0.684595167637,success
raise_a_suilen__553,F,minor,0.810329735279,success
raise_a_suilen__554,E,minor,0.75650370121,success
raise_a_suilen__555,E,minor,0.661205172539,success
raise_a_suilen__556,Bb,minor,0.76583725214,success
raise_a_suilen__557,D,minor,0.732250750065,success
raise_a_suilen__558,G,minor,0.700853228569,success
raise_a_suilen__559,C#,minor,0.666716754436,success
raise_a_suilen__560,Ab,major,0.840884745121,success
raise_a_suilen__561,C#,major,0.682423949242,success
raise_a_suilen__562,D,minor,0.719335973263,success
raise_a_suilen__563,Ab,minor,0.685775160789,success
raise_a_suilen__564,C,major,0.703596353531,success
raise_a_suilen__565,C,minor,0.575782060623,success
raise_a_suilen__566,F,major,0.767355799675,success
raise_a_suilen__567,D,minor,0.685357809067,success
raise_a_suilen__568,G,major,0.703409671783,success
raise_a_suilen__569,D,minor,0.711552679539,success
roselia__570,B,major,0.803229570389,success
roselia__571,E,minor,0.733048975468,success
roselia__572,F#,minor,0.697719097137,success
roselia__573,D,major,0.83853071928,success
roselia__574,F#,minor,0.720943629742,success
roselia__575,G,major,0.80902838707,success
roselia__576,A,minor,0.735847711563,success
roselia__577,G,major,0.924483418465,success
roselia__578,G,major,0.803924620152,success
roselia__579,E,minor,0.660585105419,success
roselia__580,A,major,0.895502686501,success
roselia__581,D,major,0.770478367805,success
roselia__582,D,minor,0.7058801651,success
roselia__583,A,minor,0.707118570805,success
roselia__584,G,minor,0.67170470953,success
roselia__585,C,major,0.665803611279,success
roselia__586,F#,minor,0.656220197678,success
roselia__587,Bb,minor,0.570426464081,success
roselia__589,G,major,0.662609815598,success
roselia__590,F,major,0.758787631989,success
roselia__591,Bb,major,0.703742682934,success
roselia__592,D,minor,0.756813764572,success
roselia__593,F,minor,0.589501142502,success
roselia__594,C,major,0.648481488228,success
roselia__595,Eb,major,0.764244675636,success
roselia__596,C,major,0.677423775196,success
roselia__597,B,major,0.677144169807,success
roselia__598,G,major,0.718045473099,success
roselia__599,C#,minor,0.703799247742,success
roselia__600,E,minor,0.687758743763,success
roselia__601,E,minor,0.730103254318,success
roselia__602,E,major,0.568354189396,success
roselia__603,B,minor,0.639243900776,success
roselia__604,Eb,minor,0.521357953548,success
